collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3501,01/01/2015 07:02,-1.445616,35.141226,287,17.6,1744
st2010-3501,01/01/2015 09:00,-1.55567,35.086104,62,0,1629
st2010-3501,01/01/2015 11:00,-1.588521,35.085705,191,0,1744
st2010-3501,01/01/2015 13:00,-1.589975,35.075273,356,0,1533
st2010-3501,01/01/2015 15:00,-1.590031,35.075361,289,0,1569
st2010-3501,01/01/2015 17:00,-1.59016,35.074872,102,0,1535
st2010-3501,02/01/2015 07:00,-1.590128,35.074848,41,0,1529
st2010-3501,02/01/2015 09:00,-1.590144,35.074849,347,0,1537
st2010-3501,02/01/2015 11:00,-1.594294,35.068096,117,21.4,1612
st2010-3501,02/01/2015 13:00,-1.582594,35.012613,344,0,1519
st2010-3501,02/01/2015 15:00,-1.582612,35.012685,163,0,1533
st2010-3501,02/01/2015 17:00,-1.582612,35.012698,58,0,1525
st2010-3501,03/01/2015 07:00,-1.579312,35.012363,338,0,1508
st2010-3501,03/01/2015 09:00,-1.579371,35.012344,175,0,1531
st2010-3501,03/01/2015 11:00,-1.579327,35.01235,319,0,1523
st2010-3501,03/01/2015 13:00,-1.579384,35.012307,0,0,1517
st2010-3501,03/01/2015 15:00,-1.579321,35.012379,156,0,1524
st2010-3501,03/01/2015 17:00,-1.577491,35.009839,0,0,1534
st2010-3501,04/01/2015 07:00,-1.5775,35.009783,26,0,1513
st2010-3501,04/01/2015 09:00,-1.562462,35.00615,333,0,1499
st2010-3501,04/01/2015 11:00,-1.562349,35.006143,158,0,1469
st2010-3501,04/01/2015 13:00,-1.562295,35.006152,218,0,1479
st2010-3501,04/01/2015 15:00,-1.562221,35.006093,104,0,1480
st2010-3501,04/01/2015 17:00,-1.563295,35.0076,171,0,1483
st2010-3501,05/01/2015 07:00,-1.562875,35.010039,277,0,1490
st2010-3501,05/01/2015 09:00,-1.559225,35.012668,311,0,1490
st2010-3501,05/01/2015 11:00,-1.559014,35.012604,304,0,1479
st2010-3501,05/01/2015 13:00,-1.55909,35.012853,302,0,1626
st2010-3501,05/01/2015 15:00,-1.558169,35.012268,99,0,1626
st2010-3501,05/01/2015 17:00,-1.558312,35.011642,75,0,1484
st2010-3501,06/01/2015 07:00,-1.556899,35.015671,337,0,1498
st2010-3501,06/01/2015 09:00,-1.556691,35.013384,48,0,1482
st2010-3501,06/01/2015 11:00,-1.556706,35.013452,118,0,1487
st2010-3501,06/01/2015 13:00,-1.599512,35.034952,234,0,1526
st2010-3501,06/01/2015 15:00,-1.599311,35.034449,258,6.8,1509
st2010-3501,06/01/2015 17:00,-1.599235,35.034768,124,0,1525
st2010-3501,07/01/2015 07:00,-1.601058,35.030618,303,0,1518
st2010-3501,07/01/2015 09:00,-1.601061,35.030585,47,0,1527
st2010-3501,07/01/2015 11:00,-1.599452,35.030886,139,0,1532
st2010-3501,07/01/2015 13:00,-1.647471,35.211719,301,42.7,2079
st2010-3501,07/01/2015 15:00,-1.698981,35.246118,232,0,1750
st2010-3501,07/01/2015 17:00,-1.698974,35.246114,141,0,1744
st2010-3501,08/01/2015 07:00,-1.69895,35.246122,97,0,1741
st2010-3501,08/01/2015 09:00,-1.698973,35.246138,307,0,1736
st2010-3501,08/01/2015 11:00,-1.678438,35.284302,189,0,1700
st2010-3501,08/01/2015 13:00,-1.678002,35.28326,0,0,1695
st2010-3501,08/01/2015 15:00,-1.677858,35.283202,240,0,1683
st2010-3501,08/01/2015 17:00,-1.682262,35.274478,132,0,1732
st2010-3501,09/01/2015 07:02,-1.682232,35.274473,89,0,1722
st2010-3501,09/01/2015 09:00,-1.67842,35.284247,33,0,1693
st2010-3501,09/01/2015 11:00,-1.661772,35.233003,268,63.7,2424
st2010-3501,09/01/2015 13:00,-1.51959,34.94079,293,0,1493
st2010-3501,09/01/2015 15:00,-1.537738,34.933172,219,47.2,1511
st2010-3501,09/01/2015 17:00,-1.722075,34.939491,323,0,1639
st2010-3501,10/01/2015 07:02,-1.726298,34.936835,32,0,1635
st2010-3501,10/01/2015 09:00,-1.72631,34.936842,18,0,1644
st2010-3501,10/01/2015 11:00,-1.726313,34.936833,224,0,1644
st2010-3501,10/01/2015 13:00,-1.713774,34.917807,99,0,1673
st2010-3501,10/01/2015 15:00,-1.715723,34.917772,216,0,1668
st2010-3501,10/01/2015 17:00,-1.711775,34.923404,135,0,1654
st2010-3501,11/01/2015 07:00,-1.711719,34.923348,29,0,1643
st2010-3501,11/01/2015 09:00,-1.711791,34.923362,301,0,1645
st2010-3501,11/01/2015 11:00,-1.711783,34.923344,5,0,1651
st2010-3501,11/01/2015 13:00,-1.564447,34.999361,2,0,1464
st2010-3501,11/01/2015 15:00,-1.564201,34.999363,24,0,1479
st2010-3501,11/01/2015 17:00,-1.564141,34.999138,94,0,1473
st2010-3501,12/01/2015 07:00,-1.563868,34.999417,171,0,1466
st2010-3501,12/01/2015 09:00,-1.563963,34.999468,26,0,1470
st2010-3501,12/01/2015 11:00,-1.564358,34.999784,330,0,1464
st2010-3501,12/01/2015 13:00,-1.563934,34.999818,261,0,1466
st2010-3501,12/01/2015 15:00,-1.563925,34.999774,59,0,1460
st2010-3501,12/01/2015 17:00,-1.56392,34.999677,55,0,1461
st2010-3501,13/01/2015 07:00,-1.563275,35.000123,65,0,1473
st2010-3501,13/01/2015 09:00,-1.563963,35.00155,7,0,1463
st2010-3501,13/01/2015 11:00,-1.564156,35.002945,75,0,1460
st2010-3501,13/01/2015 13:00,-1.563916,35.003675,238,0,1472
st2010-3501,13/01/2015 15:00,-1.563329,35.004175,216,0,1475
st2010-3501,13/01/2015 17:00,-1.563049,35.004097,102,0,1476
st2010-3501,14/01/2015 07:00,-1.56653,35.005268,28,0,1484
st2010-3501,14/01/2015 09:00,-1.562693,35.005035,0,0,1450
st2010-3501,14/01/2015 11:00,-1.562583,35.004938,226,0,1489
st2010-3501,14/01/2015 13:00,-1.562558,35.00491,66,0,1473
st2010-3501,14/01/2015 15:00,-1.562192,35.005266,57,0,1474
st2010-3501,14/01/2015 17:00,-1.561804,35.000562,268,0,1068
st2010-3501,15/01/2015 07:00,-1.562636,35.004689,84,0,1470
st2010-3501,15/01/2015 09:00,-1.562721,35.005777,338,0,1474
st2010-3501,15/01/2015 11:00,-1.56263,35.005445,235,0,1473
st2010-3501,15/01/2015 13:00,-1.562391,35.005214,0,0,1500
st2010-3501,15/01/2015 15:00,-1.56234,35.005693,174,0,1475
st2010-3501,15/01/2015 17:00,-1.562734,35.00509,48,0,1476
st2010-3501,16/01/2015 07:00,-1.563842,35.006424,37,0,1480
st2010-3501,16/01/2015 09:00,-1.562621,35.005654,321,0,1481
st2010-3501,16/01/2015 11:00,-1.562684,35.005618,90,0,1427
st2010-3501,16/01/2015 13:00,-1.562287,35.005925,158,0,1479
st2010-3501,16/01/2015 15:00,-1.562266,35.005895,209,0,1472
st2010-3501,16/01/2015 17:00,-1.570247,35.003642,87,0,1514
st2010-3501,17/01/2015 07:00,-1.570192,35.003713,275,0,1509
st2010-3501,17/01/2015 09:00,-1.563934,34.999721,352,0,1465
st2010-3501,17/01/2015 11:00,-1.563934,34.999732,78,0,1471
st2010-3501,17/01/2015 13:00,-1.563915,34.999768,191,0,1470
